investor_id,user_id,email,full_name,entity_id,country,created_at,relationship_manager_id
73cffe03-ca06-45ab-8ef9-807af9104c5a,eea7cb1f-1f64-49d5-908a-6018b4e84af6,sara.marshall@alexander-invest.co.uk,Sara Marshall,f79b1601-4476-4ce0-a1a5-c558243f94e9,Pakistan,2025-10-11 00:00:00,2fc13636-33f1-4b5e-8ce7-93cc79be660c
0328ea54-7149-4bc9-8f73-7e479a958abe,9f168977-bbdb-4ab9-9fb8-89ce32fa0ba6,jonathan.barton@alexander-invest.co.uk,Jonathan Barton,f79b1601-4476-4ce0-a1a5-c558243f94e9,Timor-Leste,2021-01-25 00:00:00,2fc13636-33f1-4b5e-8ce7-93cc79be660c
1ca4130a-a5a8-4c23-aaa0-fd55a02ccbf7,cc84da8a-b792-4db1-bcbc-734d682eff82,frances.taylor@collins-invest.co.uk,Frances Taylor,e4cfed82-1c35-456d-9868-c57e61d56e4c,Hong Kong,2022-10-13 00:00:00,16134b5d-dc6e-480b-a748-3b8c5b2a0b3d
46450d1d-a64a-4e30-9ee8-5d3bf2510fd6,8a2f5670-1625-4ca2-9a6f-7c508087d4d3,elliott.johnson@johnston-invest.co.uk,Elliott Johnson,469971e2-31ac-49cb-b1eb-87fd42637b48,Tuvalu,2022-12-29 00:00:00,2fc13636-33f1-4b5e-8ce7-93cc79be660c
5844f44e-7e7d-4a6f-9ab5-f0440d6d4eea,bc81f3ec-83f1-4058-bf0b-effde7eb18ef,holly.carr@sullivan-invest.co.uk,Holly Carr,fb8de1ba-6829-4d3c-9154-1b462c9b0edb,Argentina,2020-02-16 00:00:00,e5c208e0-ea56-45a4-a28f-dd21202c740a
190cfef1-15b6-440d-9cfa-cde895e4f038,06c6195a-1c02-4fc2-be96-8a075a595814,marian.rees@sullivan-invest.co.uk,Marian Rees,fb8de1ba-6829-4d3c-9154-1b462c9b0edb,Norfolk Island,2022-08-25 00:00:00,16134b5d-dc6e-480b-a748-3b8c5b2a0b3d
b08ef9c4-d05c-45fc-a59f-27be1a76429c,55859e92-50d1-4e47-884a-9f8b529455cd,lydia.wall@sullivan-invest.co.uk,Lydia Wall,fb8de1ba-6829-4d3c-9154-1b462c9b0edb,Denmark,2021-04-29 00:00:00,
04a07262-01da-4e5d-b694-222c99e0a4c4,4948d18c-64ab-4645-b358-75c9a9f14bbc,george.williams@edwards-invest.co.uk,George Williams,7d6e30f6-7e70-40c1-a666-7b1b32416a22,Bolivia,2023-06-27 00:00:00,e5c208e0-ea56-45a4-a28f-dd21202c740a
8493e945-bace-4d26-9718-b39bdb98d3dd,479fdf4c-650e-4d58-a1f8-4126277eaf5a,ashleigh.campbell@kelly-invest.co.uk,Ashleigh Campbell,f803707d-1872-4385-b157-0d948c5bedbf,Bolivia,2024-02-14 00:00:00,16134b5d-dc6e-480b-a748-3b8c5b2a0b3d
cfbe22de-e1f6-4697-9164-b6760baa2aa4,da039e23-07a6-40a0-89a3-9b2d58ab6590,louise.thompson@kelly-invest.co.uk,Louise Thompson,f803707d-1872-4385-b157-0d948c5bedbf,French Southern Territories,2021-07-01 00:00:00,31b01e01-5e9b-4bac-8989-c077a062f921
b3c35eba-19c7-46b4-88ba-c0ddf9ef846a,1fe69245-13db-447b-89f3-08382cacd0f5,matthew.thomas@morley-invest.co.uk,Matthew Thomas,8a78b524-2922-483b-90ae-e83dc1f4133f,South Africa,2024-03-10 00:00:00,e5c208e0-ea56-45a4-a28f-dd21202c740a
fe02d28b-fe34-4eea-af72-3bcba63341a5,4a3994c9-d5af-4e82-b346-349e18a67b37,william.harris@young-invest.co.uk,William Harris,50645b73-42d0-4486-81fb-8410f5e01533,Holy See (Vatican City State),2026-01-10 00:00:00,2fc13636-33f1-4b5e-8ce7-93cc79be660c
dbe40ef8-af86-4633-8204-ac0fff993267,1874642a-6cf7-4413-8047-c8421fcb4239,sharon.lane@graham-invest.co.uk,Sharon Lane,32500154-1bb1-4d8b-990a-e0e80dfe276a,Marshall Islands,2020-12-01 00:00:00,31b01e01-5e9b-4bac-8989-c077a062f921
8e8bdc2d-1671-414f-a37b-25e7b3552962,86bf30d8-a7fc-48be-98e6-0d21c295c50d,victoria.armstrong@graham-invest.co.uk,Victoria Armstrong,32500154-1bb1-4d8b-990a-e0e80dfe276a,Somalia,2024-01-21 00:00:00,e5c208e0-ea56-45a4-a28f-dd21202c740a
827af140-88d7-4ba2-bf91-aa7a1b31cd1f,c7b60777-3db7-4c16-993c-83154ceaf84a,jeremy.thompson@wilkins-invest.co.uk,Jeremy Thompson,db0e4d0c-d3db-458f-aea3-55cddbbc3e8a,Belgium,2026-02-21 00:00:00,6785eb85-eccb-4d04-bd8c-c328e5807f7e
7711cf59-8bc7-449b-993d-f8d4fb943877,2c5420c4-af5c-487e-b9aa-145fe6fe3fcb,kathryn.taylor@davidson-invest.co.uk,Kathryn Taylor,3fd468bf-1373-4bb0-9135-2b9f815b47f6,Niger,2021-09-05 00:00:00,e5c208e0-ea56-45a4-a28f-dd21202c740a
75e08f7f-d10e-46f4-bca6-49661a741af4,2c500dbf-6d38-4bdf-8c80-c1f07a8ada52,jill.smith@davidson-invest.co.uk,Jill Smith,3fd468bf-1373-4bb0-9135-2b9f815b47f6,United States Minor Outlying Islands,2024-12-14 00:00:00,e5c208e0-ea56-45a4-a28f-dd21202c740a
ad80b093-ae1e-43d8-a0ef-5f7fc13c5d94,3478f3ef-9559-42db-bb1d-d48d1754ef09,carole.wilkins@davidson-invest.co.uk,Carole Wilkins,3fd468bf-1373-4bb0-9135-2b9f815b47f6,Kyrgyz Republic,2025-06-25 00:00:00,31b01e01-5e9b-4bac-8989-c077a062f921
b3b6cf4b-a552-458a-aa2d-02b65b8b90cc,f8be1dee-2a20-4c99-916a-fa315232be02,kim.smith@morris-invest.co.uk,Kim Smith,ab84ef29-70d7-4f67-90ef-2573a3f83599,Equatorial Guinea,2025-01-31 00:00:00,6785eb85-eccb-4d04-bd8c-c328e5807f7e
