entity_id,entity_name,partner_id,entity_type,kyc_status
f79b1601-4476-4ce0-a1a5-c558243f94e9,Alexander Personal Account,329b3776-ad36-4f85-b9df-772610528241,individual,expired
e4cfed82-1c35-456d-9868-c57e61d56e4c,Collins Family Trust,329b3776-ad36-4f85-b9df-772610528241,trust,approved
469971e2-31ac-49cb-b1eb-87fd42637b48,Johnston Ltd,329b3776-ad36-4f85-b9df-772610528241,corporate,expired
fb8de1ba-6829-4d3c-9154-1b462c9b0edb,Sullivan Investment Account,329b3776-ad36-4f85-b9df-772610528241,individual,approved
7d6e30f6-7e70-40c1-a666-7b1b32416a22,Edwards Personal Account,329b3776-ad36-4f85-b9df-772610528241,individual,approved
f803707d-1872-4385-b157-0d948c5bedbf,Kelly Ltd,329b3776-ad36-4f85-b9df-772610528241,corporate,pending
8a78b524-2922-483b-90ae-e83dc1f4133f,Morley Capital Ltd,329b3776-ad36-4f85-b9df-772610528241,corporate,approved
50645b73-42d0-4486-81fb-8410f5e01533,Young SIPP,329b3776-ad36-4f85-b9df-772610528241,pension_fund,approved
32500154-1bb1-4d8b-990a-e0e80dfe276a,Graham Personal Account,329b3776-ad36-4f85-b9df-772610528241,individual,expired
db0e4d0c-d3db-458f-aea3-55cddbbc3e8a,Wilkins Retirement Fund,329b3776-ad36-4f85-b9df-772610528241,pension_fund,approved
3fd468bf-1373-4bb0-9135-2b9f815b47f6,Davidson Holdings Ltd,329b3776-ad36-4f85-b9df-772610528241,corporate,rejected
ab84ef29-70d7-4f67-90ef-2573a3f83599,Morris Family Trust,329b3776-ad36-4f85-b9df-772610528241,trust,approved
1f869d89-8d0d-4fe9-b041-f3cc292aeed3,Powell Pension Fund,329b3776-ad36-4f85-b9df-772610528241,pension_fund,approved
83b34014-8d21-4781-93b1-d94ee100309d,Morris Settlement,329b3776-ad36-4f85-b9df-772610528241,trust,approved
c4a29ec4-43c2-4967-b9dc-15b3f06f8c7c,Rowe Investment Account,329b3776-ad36-4f85-b9df-772610528241,individual,pending
192b1292-d510-48e0-aa6e-754b6a8d1349,Jackson Investment Account,329b3776-ad36-4f85-b9df-772610528241,individual,approved
ff70ce9c-e25b-4d7f-bbd0-5fadb0dedc9c,Evans Settlement,329b3776-ad36-4f85-b9df-772610528241,trust,pending
b9445062-e5e7-43c4-837b-1db2c4ebbf74,Turner Settlement,329b3776-ad36-4f85-b9df-772610528241,trust,approved
b50badaa-a466-4c88-b7c0-b3071e6b51bd,Khan Personal Account,329b3776-ad36-4f85-b9df-772610528241,individual,expired
bd6044d3-fc78-46b5-a884-df82cb2a0af7,Hughes Investments Ltd,329b3776-ad36-4f85-b9df-772610528241,corporate,approved
9a354a3d-167c-4364-a904-fa2d9b1a7f4c,Davey Ltd,329b3776-ad36-4f85-b9df-772610528241,corporate,approved
b4350670-bf57-4721-b18f-7237e0e701c2,Taylor Discretionary Trust,329b3776-ad36-4f85-b9df-772610528241,trust,expired
86a8aab7-4a25-4f32-b122-ba17374e35d5,Gould Family Trust,329b3776-ad36-4f85-b9df-772610528241,trust,approved
1cb33a68-13c6-4043-8158-182cc3d96256,Walsh Family Trust,329b3776-ad36-4f85-b9df-772610528241,trust,expired
f85fb15f-dc86-4a43-905d-36f393795c3f,Davies Settlement,329b3776-ad36-4f85-b9df-772610528241,trust,expired
55c3e6e1-cdd1-4db4-8033-84d14721b10e,Anderson Personal Account,329b3776-ad36-4f85-b9df-772610528241,individual,pending
8909f6db-28a1-4ebd-a76c-126d1e2503e6,Cooper Holdings Ltd,329b3776-ad36-4f85-b9df-772610528241,corporate,approved
77d4b1ac-58e9-4546-8085-f4163171b399,Wright Retirement Fund,329b3776-ad36-4f85-b9df-772610528241,pension_fund,expired
0af86286-08e7-4df7-b1c1-b344b001d627,Jones Investments Ltd,329b3776-ad36-4f85-b9df-772610528241,corporate,rejected
1ca96709-67fb-4f5c-b426-43401befb79e,Smith Personal Account,329b3776-ad36-4f85-b9df-772610528241,individual,rejected
a8b78255-69ba-413f-b4e6-ca4059827dd7,Fisher Investment Account,329b3776-ad36-4f85-b9df-772610528241,individual,approved
ef84439e-c732-472a-ab5e-9e26a98bf16c,Hewitt Family Trust,329b3776-ad36-4f85-b9df-772610528241,trust,approved
f7f774f4-9747-4514-8317-ccdb765cd5ce,Davies Family Trust,329b3776-ad36-4f85-b9df-772610528241,trust,expired
16ffb943-ac11-4d8e-8e6a-ae596d4c146f,Clark Retirement Fund,329b3776-ad36-4f85-b9df-772610528241,pension_fund,expired
dd414323-6440-438d-ac33-ed7691e10365,Young Pension Fund,329b3776-ad36-4f85-b9df-772610528241,pension_fund,approved
bf9455f7-2330-4004-a9e2-83fa8b3f7fc0,Myers Holdings Ltd,329b3776-ad36-4f85-b9df-772610528241,corporate,expired
676e248a-709a-4777-bc32-ad9511384d8d,Read Settlement,329b3776-ad36-4f85-b9df-772610528241,trust,pending
e10600cb-3236-4c3e-8589-ee6c3d0c3996,Cook SIPP,329b3776-ad36-4f85-b9df-772610528241,pension_fund,approved
04c08124-0d7d-4eba-9f9b-0b168d27618d,Harris Family Trust,329b3776-ad36-4f85-b9df-772610528241,trust,approved
e5dfef51-fc5b-4888-bc50-553e989f8935,Steele Pension Fund,329b3776-ad36-4f85-b9df-772610528241,pension_fund,rejected
c6f41e69-5e6b-45b8-b949-ebf7c2801c52,Harper Personal Account,329b3776-ad36-4f85-b9df-772610528241,individual,approved
73a394ca-bc21-40cd-ba4d-4246c334ced8,Atkinson Capital Ltd,329b3776-ad36-4f85-b9df-772610528241,corporate,pending
5299802f-9bfc-4077-8ba5-923d207d9d1b,Peters Investment Account,329b3776-ad36-4f85-b9df-772610528241,individual,approved
c6b0e0dc-71ee-4524-8366-84bc667616a5,Page SIPP,329b3776-ad36-4f85-b9df-772610528241,pension_fund,approved
859e9d68-802e-4a4e-9c2c-4f4487eb953a,Carter Personal Account,329b3776-ad36-4f85-b9df-772610528241,individual,expired
31a89254-6947-4cbd-9f56-c5b3e1e0ef94,Buckley Settlement,329b3776-ad36-4f85-b9df-772610528241,trust,approved
9a9682b7-4a62-4144-af9f-a11b3aa7b41d,Dean Investment Account,329b3776-ad36-4f85-b9df-772610528241,individual,approved
dfd94676-4266-478c-a954-4bff9f5967b4,Johnson Capital Ltd,329b3776-ad36-4f85-b9df-772610528241,corporate,approved
1dfdd387-5276-4f4d-9852-cd6a55ca15a7,Gray Settlement,329b3776-ad36-4f85-b9df-772610528241,trust,rejected
