rm_id,partner_id,name,email
6785eb85-eccb-4d04-bd8c-c328e5807f7e,329b3776-ad36-4f85-b9df-772610528241,Ruth Griffiths,ruth.griffiths@ashford-wealth.co.uk
31b01e01-5e9b-4bac-8989-c077a062f921,329b3776-ad36-4f85-b9df-772610528241,Henry Smith,henry.smith@ashford-wealth.co.uk
16134b5d-dc6e-480b-a748-3b8c5b2a0b3d,329b3776-ad36-4f85-b9df-772610528241,Bradley Newman,bradley.newman@ashford-wealth.co.uk
2fc13636-33f1-4b5e-8ce7-93cc79be660c,329b3776-ad36-4f85-b9df-772610528241,Sian Cox,sian.cox@ashford-wealth.co.uk
e5c208e0-ea56-45a4-a28f-dd21202c740a,329b3776-ad36-4f85-b9df-772610528241,Janice Hopkins,janice.hopkins@ashford-wealth.co.uk
b4024dc1-570b-4eff-b90a-fb4e61e1fae8,d8c700a9-a81f-4e73-8a73-9391eac6b4e8,Mary Higgins,mary.higgins@meridian-wealth.co.uk
72013f3f-41e7-4266-83f0-a33c474f231b,d8c700a9-a81f-4e73-8a73-9391eac6b4e8,Colin Lloyd,colin.lloyd@meridian-wealth.co.uk
31e99036-3f49-48e2-b148-a914c5ff94c1,d8c700a9-a81f-4e73-8a73-9391eac6b4e8,Leanne Foster,leanne.foster@meridian-wealth.co.uk
5102ad2a-5234-4cd8-b8ad-58634b7182fc,d8c700a9-a81f-4e73-8a73-9391eac6b4e8,Chelsea Ryan,chelsea.ryan@meridian-wealth.co.uk
2ac8ffdd-92f4-4423-960a-1cff03087509,fccd4c9b-212a-40e2-855c-9633c65670f0,Francesca Harrison,francesca.harrison@cavendish-wealth.co.uk
55c1f49a-8dad-4eb9-a97f-6d81ddc28095,fccd4c9b-212a-40e2-855c-9633c65670f0,Samantha Quinn,samantha.quinn@cavendish-wealth.co.uk
58d5d911-c529-4c53-950e-88c4d8907016,fccd4c9b-212a-40e2-855c-9633c65670f0,Joan White,joan.white@cavendish-wealth.co.uk
3c2eac62-59b0-485f-bf07-5204f1b386eb,fccd4c9b-212a-40e2-855c-9633c65670f0,Thomas Reed,thomas.reed@cavendish-wealth.co.uk
38174789-b5e2-43f6-baeb-43dace025cf9,646321a5-ccbc-445a-8c04-c797aa3a8200,Sam Harrison,sam.harrison@thornton-wealth.co.uk
d21dabb7-e6c9-4cd9-a18f-49d66a339fa4,646321a5-ccbc-445a-8c04-c797aa3a8200,Maurice White,maurice.white@thornton-wealth.co.uk
621086dc-f3d4-4677-b93f-d14ba5911711,646321a5-ccbc-445a-8c04-c797aa3a8200,Robin Andrews,robin.andrews@thornton-wealth.co.uk
47f1c403-c158-4f21-9602-227c8542a147,79c50ef2-324d-473a-8d38-ac37c87188a6,Tom Warner,tom.warner@waverly-wealth.co.uk
1be6a3ab-b64f-4abe-85c6-4eca7ffcb062,79c50ef2-324d-473a-8d38-ac37c87188a6,Jessica Glover,jessica.glover@waverly-wealth.co.uk
07e1a06b-39f4-4df6-bf09-d390c84c4dc3,79c50ef2-324d-473a-8d38-ac37c87188a6,Leigh Butler,leigh.butler@waverly-wealth.co.uk
7c11b02a-04e0-4de8-b464-7da96de0c976,00ce42a4-8b51-4cdd-9ca3-9bff9a87b056,Samuel Elliott,samuel.elliott@granville-wealth.co.uk
e3bd338e-ce1c-40a0-8043-fd15efb87d2b,00ce42a4-8b51-4cdd-9ca3-9bff9a87b056,Paula Harvey,paula.harvey@granville-wealth.co.uk
6958b744-89ea-4389-8406-46ced92a6935,00ce42a4-8b51-4cdd-9ca3-9bff9a87b056,Gemma Ferguson,gemma.ferguson@granville-wealth.co.uk
b2510dbc-2ef7-4d39-918c-41a6306ab570,7461962f-aa90-4a34-a23e-6960a8b5104a,Billy Norton,billy.norton@stirling-wealth.co.uk
97d6fd63-92e1-4f8b-974b-580e45147460,7461962f-aa90-4a34-a23e-6960a8b5104a,Marian Young,marian.young@stirling-wealth.co.uk
fcca1747-4bf9-4da0-9181-aa147557e503,7461962f-aa90-4a34-a23e-6960a8b5104a,Linda Mellor,linda.mellor@stirling-wealth.co.uk
b5a158be-8419-4281-b977-6f51c14b48be,7c6b66c1-9890-42a4-9fb7-761c8049ade4,Geraldine Rees,geraldine.rees@clearwater-wealth.co.uk
3d3f284d-3db1-4c9d-bb43-fc42462f905f,7c6b66c1-9890-42a4-9fb7-761c8049ade4,Irene Wilson,irene.wilson@clearwater-wealth.co.uk
